Time,Temp1F,Temp2F,RH,Pres,AccX,AccZ
194450,37.01,36.13,37.89,12.26,1.013,0.332
194954,37.89,36.13,37.73,12.26,1.013,0.347
195458,36.13,36.13,37.73,12.26,1.028,0.347
195960,37.89,36.13,37.57,12.26,1.013,0.347
196464,37.89,36.13,37.57,12.26,1.013,0.347
196968,37.01,36.13,37.73,12.26,1.013,0.347
197472,36.13,36.13,37.89,12.26,1.028,0.347
197976,36.13,36.13,37.57,12.26,1.013,0.347
198479,37.89,36.13,37.73,12.26,1.013,0.347
198983,36.13,36.13,37.57,12.26,1.013,0.347
199487,37.89,36.13,37.42,12.26,1.028,0.347
199991,37.89,36.13,37.57,12.26,1.028,0.347
200495,37.01,36.13,37.89,12.26,1.013,0.347
200998,37.89,36.13,37.42,12.26,1.013,0.347
201502,37.89,36.13,37.57,12.26,1.013,0.347
202006,37.89,36.13,37.57,12.26,1.013,0.347
202510,37.89,36.13,37.73,12.26,1.013,0.347
203014,36.13,36.13,37.42,12.26,1.028,0.347
203517,37.01,36.13,37.89,12.26,1.013,0.332
204021,37.89,36.13,37.42,12.26,0.998,0.332
204525,37.89,36.13,37.89,12.26,0.998,0.347
205029,37.89,36.13,37.89,12.26,1.013,0.332
205533,37.01,36.13,37.57,12.26,1.013,0.347
206036,37.01,36.13,37.89,12.26,1.013,0.347
206540,37.01,36.13,37.89,12.26,1.013,0.347
207044,37.01,36.13,37.42,12.26,1.561,0.717
207548,37.89,35.26,37.89,12.26,0.776,-0.038
208052,37.89,36.13,37.57,12.26,0.924,0.302
208556,37.89,36.13,37.42,12.26,0.835,-0.038
209059,37.89,36.13,37.57,12.26,0.761,0.628
209563,37.01,36.13,37.73,12.26,1.043,0.613
210067,36.13,36.13,37.89,12.26,0.791,0.376
210571,37.01,36.13,37.57,12.26,1.265,0.199
211075,36.13,36.13,37.42,12.26,1.147,0.421
211578,37.01,36.13,37.89,12.26,1.013,0.287
212082,37.01,36.13,38.05,12.26,1.072,0.376
212586,37.01,36.13,37.89,12.26,1.043,0.332
213090,37.01,36.13,37.89,12.24,1.087,0.391
213594,37.01,36.13,38.05,12.26,0.969,0.317
214097,37.01,36.13,37.42,12.26,0.969,0.421
214601,36.13,36.13,38.05,12.26,0.954,0.969
215105,37.01,36.13,37.57,12.26,0.599,0.332
215609,37.89,36.13,37.57,12.22,1.235,0.613
216113,37.89,36.13,37.42,12.24,1.043,0.569
216616,36.13,36.13,37.42,12.24,1.161,0.850
217120,37.01,36.13,37.57,12.26,0.910,0.658
217624,37.01,36.13,37.42,12.26,0.776,0.747
218128,37.89,36.13,37.73,12.26,0.895,0.732
218632,37.89,36.13,37.89,12.26,0.643,0.436
219136,37.01,36.13,37.89,12.26,0.984,0.584
219639,37.89,36.13,37.89,12.27,1.058,0.539
220143,37.89,36.13,37.42,12.26,0.806,0.436
220647,37.89,36.13,37.26,12.26,1.191,0.376
221151,37.01,36.13,37.26,12.26,0.850,0.450
221655,37.89,36.13,37.73,12.26,0.984,0.569
222158,37.01,36.13,37.73,12.26,0.939,0.628
222662,37.89,36.13,37.89,12.26,0.821,0.510
223166,37.01,36.13,37.26,12.26,1.072,0.421
223669,37.89,36.13,37.57,12.26,1.028,0.465
224173,37.89,36.13,38.05,12.26,0.850,0.391
224676,37.89,36.13,37.10,12.24,0.806,0.510
225180,37.01,36.13,37.42,12.26,1.043,0.391
225684,37.89,36.13,37.57,12.24,1.028,0.421
226188,37.89,36.13,37.26,12.26,0.910,0.436
226692,37.89,36.13,37.42,12.22,0.895,0.391
227195,37.89,36.13,37.26,12.26,0.924,0.465
227699,37.89,36.13,37.10,12.26,0.954,0.539
228203,37.01,36.13,37.10,12.26,0.954,0.510
228707,37.89,36.13,37.42,12.26,1.117,0.376
229211,37.01,36.13,37.10,12.24,1.161,0.243
229714,37.01,36.13,37.10,12.26,1.058,0.495
230218,37.89,36.13,37.42,12.22,0.658,0.835
230722,37.01,36.13,37.42,12.26,1.043,0.599
231226,37.89,36.13,36.94,12.26,0.865,0.643
231730,37.89,36.13,36.94,12.26,0.850,0.599
232233,37.89,36.13,36.94,12.26,0.924,0.584
232737,36.13,36.13,37.26,12.26,0.969,0.510
233241,37.01,36.13,37.10,12.26,1.132,0.436
233745,36.13,36.13,37.26,12.26,0.984,0.524
234249,37.01,36.13,36.94,12.26,1.235,0.510
234753,37.01,36.13,37.10,12.26,0.984,0.539
235256,37.01,36.13,36.94,12.26,1.147,0.436
235760,37.01,36.13,36.79,12.26,0.761,0.480
236264,36.13,36.13,37.10,12.26,1.206,0.495
236768,37.01,36.13,37.10,12.26,0.821,0.480
237272,36.13,36.13,36.63,12.24,1.087,0.717
237775,37.89,36.13,37.26,12.26,0.954,0.717
238279,37.89,36.13,36.79,12.26,0.539,0.821
238783,37.89,36.13,37.10,12.26,0.613,0.732
239287,37.89,36.13,37.10,12.26,0.806,0.539
239791,37.01,36.13,36.79,12.26,0.924,0.702
